"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
16. <Am>--      on the rocky road to Dublin","8. [Verse]
17. <Am>--      One, two, three,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
17. <Am>--      One, two, three,","8. [Verse]
18. <Am>-!      four, five"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
18. <Am>-!      four, five","9. [Chorus]
1. <Am>--      Hunt the hare and turn her down"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
9. [Chorus]
1. <Am>--      Hunt the hare and turn her down","9. [Chorus]
2. <Am>--      the rocky road and all"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
9. [Chorus]
2. <Am>--      the rocky road and all","9. [Chorus]
3. <Am>--      the way to Dublin, whack"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
9. [Chorus]
3. <Am>--      the way to Dublin, whack","9. [Chorus]
4. <Am>--      follol le-dah"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
9. [Chorus]
4. <Am>--      follol le-dah","10. [Verse]
1. <Am>--      The boys of Liverpool,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
1. <Am>--      The boys of Liverpool,","10. [Verse]
2. <Am>--      when we safely landed"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
2. <Am>--      when we safely landed","10. [Verse]
3. <Am>--      Called meself a fool,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
3. <Am>--      Called meself a fool,","10. [Verse]
4. <Am>--      I could no longer stand it"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
4. <Am>--      I could no longer stand it","10. [Verse]
5. <Am>--      Blood began to boil,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
5. <Am>--      Blood began to boil,","10. [Verse]
6. <Am>--      temper I was losin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
6. <Am>--      temper I was losin'","10. [Verse]
7. <Am>--      Poor old Erin's Isle,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
7. <Am>--      Poor old Erin's Isle,","10. [Verse]
8. <Am>--      they began abusin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
8. <Am>--      they began abusin'","10. [Verse]
9. <Am>--      ""Hurrah me soul,"" says I,"
